,balance,numofproducts,hascrcard,tenure,isactivemember,exited,creditscore,geography,gender,age,estimatedsalary,estimatedsalary_group,age_group,saving,saving_group,creditscore_group,numofproducts_scale,creditscore_scale,age_scale,gender_scale,geography_germany,geography_spain,age_group_21-23,age_group_24-31,age_group_32-44,age_group_45-60,age_group_above 60,numofproducts_1,numofproducts_2,numofproducts_3,numofproducts_4
39,0.0,1,1,7,1,0,850,france,male,36,40812.9,20k - 50k,32-44,0,no saving,above 800,0.0,0.9999999999999999,0.24324324324324326,0,0,0,0,0,1,0,0,1,0,0,0
40,70349.48,2,1,6,1,0,582,germany,male,41,178074.04,1.5 lakh - 2 lakh,32-44,1,50k-1 lakh,below 650,0.3333333333333333,0.46399999999999986,0.3108108108108108,0,1,0,0,0,1,0,0,0,1,0,0
41,0.0,1,0,4,0,0,472,spain,male,40,70154.22,50k - 1 lakh,32-44,0,no saving,below 650,0.0,0.244,0.2972972972972973,0,0,1,0,0,1,0,0,1,0,0,0
42,122522.32,1,0,8,0,1,465,france,female,51,181297.65,1.5 lakh - 2 lakh,45-60,1,1 lakh - 1.5 lakh,below 650,0.0,0.22999999999999998,0.445945945945946,1,0,0,0,0,0,1,0,1,0,0,0
43,117419.35,1,1,2,1,0,556,france,female,61,94153.83,50k - 1 lakh,above 60,1,1 lakh - 1.5 lakh,below 650,0.0,0.41200000000000003,0.5810810810810811,1,0,0,0,0,0,0,1,1,0,0,0
44,131394.56,1,0,2,0,1,834,france,female,49,194365.76,1.5 lakh - 2 lakh,45-60,1,1 lakh - 1.5 lakh,above 800,0.0,0.9679999999999999,0.4189189189189189,1,0,0,0,0,0,1,0,1,0,0,0
45,155931.11,1,1,5,1,0,660,spain,female,61,158338.39,1.5 lakh - 2 lakh,above 60,1,1.5 lakh - 2 lakh,650-700,0.0,0.62,0.5810810810810811,1,0,1,0,0,0,0,1,1,0,0,0
46,109421.13,2,1,4,1,0,776,germany,female,32,126517.46,1 lakh - 1.5 lakh,32-44,1,1 lakh - 1.5 lakh,700-800,0.3333333333333333,0.852,0.1891891891891892,1,1,0,0,0,1,0,0,0,1,0,0
47,112045.67,1,1,9,1,1,829,germany,female,27,119708.21,1 lakh - 1.5 lakh,24-31,1,1 lakh - 1.5 lakh,above 800,0.0,0.9580000000000001,0.12162162162162166,1,1,0,0,1,0,0,0,1,0,0,0
48,137843.8,1,1,9,1,1,637,germany,female,39,117622.8,1 lakh - 1.5 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.0,0.574,0.2837837837837838,1,1,0,0,0,1,0,0,1,0,0,0
49,103391.38,1,1,2,1,0,550,germany,male,38,90878.13,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.0,0.4,0.27027027027027034,0,1,0,0,0,1,0,0,1,0,0,0
50,103769.22,2,0,2,0,0,776,germany,female,37,194099.12,1.5 lakh - 2 lakh,32-44,1,1 lakh - 1.5 lakh,700-800,0.3333333333333333,0.852,0.25675675675675674,1,1,0,0,0,1,0,0,0,1,0,0
51,116363.37,2,0,10,0,0,698,germany,male,44,198059.16,1.5 lakh - 2 lakh,32-44,1,1 lakh - 1.5 lakh,650-700,0.3333333333333333,0.6960000000000001,0.35135135135135137,0,1,0,0,0,1,0,0,0,1,0,0
52,146050.97,2,0,5,0,0,585,germany,male,36,86424.57,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.46999999999999986,0.24324324324324326,0,1,0,0,0,1,0,0,0,1,0,0
53,0.0,2,0,5,0,0,788,france,female,33,116978.19,1 lakh - 1.5 lakh,32-44,0,no saving,700-800,0.3333333333333333,0.876,0.2027027027027027,1,0,0,0,0,1,0,0,0,1,0,0
54,125561.97,1,0,8,0,1,655,germany,male,41,164040.94,1.5 lakh - 2 lakh,32-44,1,1 lakh - 1.5 lakh,650-700,0.0,0.61,0.3108108108108108,0,1,0,0,0,1,0,0,1,0,0,0
55,98495.72,1,0,1,0,1,601,germany,male,42,40014.76,20k - 50k,32-44,1,50k-1 lakh,below 650,0.0,0.5019999999999999,0.3243243243243243,0,1,0,0,0,1,0,0,1,0,0,0
56,125211.92,1,1,1,1,0,619,france,male,43,113410.49,1 lakh - 1.5 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.0,0.5379999999999999,0.3378378378378379,0,0,0,0,0,1,0,0,1,0,0,0
57,127864.4,1,0,5,0,0,656,france,male,45,87107.57,50k - 1 lakh,45-60,1,1 lakh - 1.5 lakh,650-700,0.0,0.612,0.36486486486486486,0,0,0,0,0,0,1,0,1,0,0,0
58,75888.2,1,0,0,0,0,725,germany,male,19,45613.75,20k - 50k,18-20,1,50k-1 lakh,700-800,0.0,0.7499999999999999,0.013513513513513542,0,1,0,0,0,0,0,0,1,0,0,0
59,0.0,1,0,4,0,1,511,spain,female,66,1643.11,1k - 20k,above 60,0,no saving,below 650,0.0,0.32199999999999995,0.6486486486486487,1,0,1,0,0,0,0,1,1,0,0,0
60,40685.92,1,1,4,1,0,614,france,male,51,46775.28,20k - 50k,45-60,1,0-50k,below 650,0.0,0.5279999999999999,0.445945945945946,0,0,0,0,0,0,1,0,1,0,0,0
61,136857.0,1,0,5,0,0,742,germany,male,35,84509.57,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,700-800,0.0,0.7839999999999999,0.22972972972972977,0,1,0,0,0,1,0,0,1,0,0,0
62,152328.88,2,0,9,0,0,687,germany,female,27,126494.82,1 lakh - 1.5 lakh,24-31,1,1.5 lakh - 2 lakh,650-700,0.3333333333333333,0.674,0.12162162162162166,1,1,0,0,1,0,0,0,0,1,0,0
63,56084.69,2,0,1,0,0,555,spain,male,33,178798.13,1.5 lakh - 2 lakh,32-44,1,50k-1 lakh,below 650,0.3333333333333333,0.41000000000000003,0.2027027027027027,0,0,1,0,0,1,0,0,0,1,0,0
64,78707.16,1,1,8,1,0,684,spain,male,56,99398.36,50k - 1 lakh,45-60,1,50k-1 lakh,650-700,0.0,0.668,0.5135135135135136,0,0,1,0,0,0,1,0,1,0,0,0
65,109166.37,1,1,4,1,0,603,germany,male,26,92840.67,50k - 1 lakh,24-31,1,1 lakh - 1.5 lakh,below 650,0.0,0.5059999999999999,0.10810810810810811,0,1,0,0,1,0,0,0,1,0,0,0
66,169831.46,2,1,6,1,0,751,germany,female,36,27758.36,20k - 50k,32-44,1,1.5 lakh - 2 lakh,700-800,0.3333333333333333,0.8019999999999999,0.24324324324324326,1,1,0,0,0,1,0,0,0,1,0,0
67,101633.04,1,0,1,0,0,581,germany,female,34,110431.51,1 lakh - 1.5 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.0,0.46199999999999986,0.21621621621621623,1,1,0,0,0,1,0,0,1,0,0,0
68,123180.01,2,1,10,1,0,735,germany,male,43,196673.28,1.5 lakh - 2 lakh,32-44,1,1 lakh - 1.5 lakh,700-800,0.3333333333333333,0.7699999999999999,0.3378378378378379,0,1,0,0,0,1,0,0,0,1,0,0
69,150725.53,2,1,5,1,0,661,germany,female,35,113656.85,1 lakh - 1.5 lakh,32-44,1,1.5 lakh - 2 lakh,650-700,0.3333333333333333,0.622,0.22972972972972977,1,1,0,0,0,1,0,0,0,1,0,0
70,98373.26,1,0,8,0,0,675,france,female,21,18203.0,1k - 20k,21-23,1,50k-1 lakh,650-700,0.0,0.65,0.040540540540540515,1,0,0,1,0,0,0,0,1,0,0,0
71,133745.44,4,0,2,0,1,738,germany,male,58,28373.86,20k - 50k,45-60,1,1 lakh - 1.5 lakh,700-800,1.0,0.7759999999999999,0.5405405405405406,0,1,0,0,0,0,1,0,0,0,0,1
72,0.0,1,0,6,0,0,813,france,male,29,33953.87,20k - 50k,24-31,0,no saving,above 800,0.0,0.926,0.14864864864864863,0,0,0,0,1,0,0,0,1,0,0,0
73,163607.18,1,1,0,1,0,657,spain,female,37,44203.55,20k - 50k,32-44,1,1.5 lakh - 2 lakh,650-700,0.0,0.614,0.25675675675675674,1,0,1,0,0,1,0,0,1,0,0,0
74,157780.84,2,1,5,1,0,604,germany,female,25,58426.81,50k - 1 lakh,24-31,1,1.5 lakh - 2 lakh,below 650,0.3333333333333333,0.5079999999999999,0.09459459459459457,1,1,0,0,1,0,0,0,0,1,0,0
75,0.0,2,1,9,1,0,519,france,male,36,145562.4,1 lakh - 1.5 lakh,32-44,0,no saving,below 650,0.3333333333333333,0.33799999999999997,0.24324324324324326,0,0,0,0,0,1,0,0,0,1,0,0
76,178718.19,2,0,1,0,0,735,france,female,21,22388.0,20k - 50k,21-23,1,1.5 lakh - 2 lakh,700-800,0.3333333333333333,0.7699999999999999,0.040540540540540515,1,0,0,1,0,0,0,0,0,1,0,0
77,0.0,2,1,8,1,0,664,france,male,55,139161.64,1 lakh - 1.5 lakh,45-60,0,no saving,650-700,0.3333333333333333,0.628,0.5,0,0,0,0,0,0,1,0,0,1,0,0
78,0.0,1,1,9,1,0,678,france,female,32,148210.64,1 lakh - 1.5 lakh,32-44,0,no saving,650-700,0.0,0.656,0.1891891891891892,1,0,0,0,0,1,0,0,1,0,0,0
79,77253.22,1,1,5,1,0,757,spain,male,33,194239.63,1.5 lakh - 2 lakh,32-44,1,50k-1 lakh,700-800,0.0,0.814,0.2027027027027027,0,0,1,0,0,1,0,0,1,0,0,0
80,122189.66,2,0,10,0,0,416,germany,female,41,98301.61,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.132,0.3108108108108108,1,1,0,0,0,1,0,0,0,1,0,0
81,96645.54,2,0,1,0,0,665,france,female,34,171413.66,1.5 lakh - 2 lakh,32-44,1,50k-1 lakh,650-700,0.3333333333333333,0.63,0.21621621621621623,1,0,0,0,0,1,0,0,0,1,0,0
82,0.0,1,0,2,0,1,777,france,female,32,136458.19,1 lakh - 1.5 lakh,32-44,0,no saving,700-800,0.0,0.854,0.1891891891891892,1,0,0,0,0,1,0,0,1,0,0,0
83,0.0,2,0,3,0,0,543,france,female,36,26019.59,20k - 50k,32-44,0,no saving,below 650,0.3333333333333333,0.386,0.24324324324324326,1,0,0,0,0,1,0,0,0,1,0,0
84,90307.62,1,1,4,1,0,506,france,female,34,159235.29,1.5 lakh - 2 lakh,32-44,1,50k-1 lakh,below 650,0.0,0.31199999999999994,0.21621621621621623,1,0,0,0,0,1,0,0,1,0,0,0
85,0.0,2,0,4,0,0,493,france,female,46,1907.66,1k - 20k,45-60,0,no saving,below 650,0.3333333333333333,0.2859999999999999,0.37837837837837845,1,0,0,0,0,0,1,0,0,1,0,0
86,0.0,2,1,10,1,0,652,spain,female,75,114675.75,1 lakh - 1.5 lakh,above 60,0,no saving,650-700,0.3333333333333333,0.604,0.7702702702702704,1,0,1,0,0,0,0,1,0,1,0,0
87,121681.82,1,0,3,0,1,750,spain,male,22,128643.35,1 lakh - 1.5 lakh,21-23,1,1 lakh - 1.5 lakh,700-800,0.0,0.7999999999999999,0.05405405405405406,0,0,1,1,0,0,0,0,1,0,0,0
88,0.0,2,0,9,0,0,729,france,male,30,151869.35,1.5 lakh - 2 lakh,24-31,0,no saving,700-800,0.3333333333333333,0.7579999999999999,0.16216216216216217,0,0,0,0,1,0,0,0,0,1,0,0
89,0.0,3,0,4,0,1,646,france,female,46,93251.42,50k - 1 lakh,45-60,0,no saving,below 650,0.6666666666666667,0.592,0.37837837837837845,1,0,0,0,0,0,1,0,0,0,1,0
90,81623.67,2,1,3,1,0,635,germany,female,28,156791.36,1.5 lakh - 2 lakh,24-31,1,50k-1 lakh,below 650,0.3333333333333333,0.57,0.13513513513513514,1,1,0,0,1,0,0,0,0,1,0,0
91,0.0,3,1,5,1,1,647,spain,female,44,174205.22,1.5 lakh - 2 lakh,32-44,0,no saving,below 650,0.6666666666666667,0.594,0.35135135135135137,1,0,1,0,0,1,0,0,0,0,1,0
92,118626.55,2,0,7,0,0,808,france,male,45,147132.46,1 lakh - 1.5 lakh,45-60,1,1 lakh - 1.5 lakh,above 800,0.3333333333333333,0.916,0.36486486486486486,0,0,0,0,0,0,1,0,0,1,0,0
93,0.0,2,0,10,0,0,524,france,female,36,109614.57,1 lakh - 1.5 lakh,32-44,0,no saving,below 650,0.3333333333333333,0.348,0.24324324324324326,1,0,0,0,0,1,0,0,0,1,0,0
94,0.0,2,1,8,1,0,769,france,male,29,172290.61,1.5 lakh - 2 lakh,24-31,0,no saving,700-800,0.3333333333333333,0.838,0.14864864864864863,0,0,0,0,1,0,0,0,0,1,0,0
95,0.0,2,1,4,1,0,730,spain,male,42,85982.47,50k - 1 lakh,32-44,0,no saving,700-800,0.3333333333333333,0.7599999999999999,0.3243243243243243,0,0,1,0,0,1,0,0,0,1,0,0
96,176273.95,1,1,10,1,0,515,spain,male,35,121277.78,1 lakh - 1.5 lakh,32-44,1,1.5 lakh - 2 lakh,below 650,0.0,0.32999999999999996,0.22972972972972977,0,0,1,0,0,1,0,0,1,0,0,0
97,102827.44,1,1,9,1,0,773,spain,male,41,64595.25,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,700-800,0.0,0.846,0.3108108108108108,0,0,1,0,0,1,0,0,1,0,0,0
98,97086.4,2,1,8,1,0,814,germany,male,29,197276.13,1.5 lakh - 2 lakh,24-31,1,50k-1 lakh,above 800,0.3333333333333333,0.928,0.14864864864864863,0,1,0,0,1,0,0,0,0,1,0,0
99,0.0,2,0,8,0,0,710,spain,male,22,99645.04,50k - 1 lakh,21-23,0,no saving,700-800,0.3333333333333333,0.7199999999999999,0.05405405405405406,0,0,1,1,0,0,0,0,0,1,0,0
100,0.0,2,0,9,0,0,413,france,male,34,6534.18,1k - 20k,32-44,0,no saving,below 650,0.3333333333333333,0.126,0.21621621621621623,0,0,0,0,0,1,0,0,0,1,0,0
101,0.0,1,1,6,1,0,665,france,female,40,161848.03,1.5 lakh - 2 lakh,32-44,0,no saving,650-700,0.0,0.63,0.2972972972972973,1,0,0,0,0,1,0,0,1,0,0,0
102,0.0,2,0,6,0,0,623,france,female,44,167162.43,1.5 lakh - 2 lakh,32-44,0,no saving,below 650,0.3333333333333333,0.5459999999999999,0.35135135135135137,1,0,0,0,0,1,0,0,0,1,0,0
103,82674.15,1,0,9,0,0,738,france,male,31,41970.72,20k - 50k,24-31,1,50k-1 lakh,700-800,0.0,0.7759999999999999,0.1756756756756757,0,0,0,0,1,0,0,0,1,0,0,0
104,0.0,2,0,7,0,0,528,spain,male,36,60536.56,50k - 1 lakh,32-44,0,no saving,below 650,0.3333333333333333,0.356,0.24324324324324326,0,0,1,0,0,1,0,0,0,1,0,0
105,0.0,1,1,1,1,1,670,spain,female,65,177655.68,1.5 lakh - 2 lakh,above 60,0,no saving,650-700,0.0,0.64,0.6351351351351351,1,0,1,0,0,0,0,1,1,0,0,0
106,107073.27,2,1,4,1,1,622,spain,female,46,30984.59,20k - 50k,45-60,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.5439999999999999,0.37837837837837845,1,0,1,0,0,0,1,0,0,1,0,0
107,88938.62,1,1,1,1,0,582,germany,male,32,10054.53,1k - 20k,32-44,1,50k-1 lakh,below 650,0.0,0.46399999999999986,0.1891891891891892,0,1,0,0,0,1,0,0,1,0,0,0
108,99806.85,1,1,2,1,0,785,germany,female,36,36976.52,20k - 50k,32-44,1,50k-1 lakh,700-800,0.0,0.87,0.24324324324324326,1,1,0,0,0,1,0,0,1,0,0,0
109,150092.8,1,0,5,0,0,605,spain,male,33,71862.79,50k - 1 lakh,32-44,1,1.5 lakh - 2 lakh,below 650,0.0,0.5099999999999999,0.2027027027027027,0,0,1,0,0,1,0,0,1,0,0,0
110,92833.89,1,0,9,0,1,479,germany,male,35,99449.86,50k - 1 lakh,32-44,1,50k-1 lakh,below 650,0.0,0.258,0.22972972972972977,0,1,0,0,0,1,0,0,1,0,0,0
111,90536.81,1,1,3,1,0,685,germany,male,30,63082.88,50k - 1 lakh,24-31,1,50k-1 lakh,650-700,0.0,0.67,0.16216216216216217,0,1,0,0,1,0,0,0,1,0,0,0
112,108055.1,2,0,7,0,0,538,germany,male,39,27231.26,20k - 50k,32-44,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.376,0.2837837837837838,0,1,0,0,0,1,0,0,0,1,0,0
113,100238.35,1,0,2,0,0,562,france,male,42,86797.41,50k - 1 lakh,32-44,1,1 lakh - 1.5 lakh,below 650,0.0,0.42400000000000004,0.3243243243243243,0,0,0,0,0,1,0,0,1,0,0,0
114,106190.55,1,1,9,1,0,675,spain,male,36,22994.32,20k - 50k,32-44,1,1 lakh - 1.5 lakh,650-700,0.0,0.65,0.24324324324324326,0,0,1,0,0,1,0,0,1,0,0,0
115,154475.54,2,1,9,1,1,721,germany,male,28,101300.94,1 lakh - 1.5 lakh,24-31,1,1.5 lakh - 2 lakh,700-800,0.3333333333333333,0.7419999999999999,0.13513513513513514,0,1,0,0,1,0,0,0,0,1,0,0
116,132351.29,2,1,9,1,0,628,germany,female,30,74169.13,50k - 1 lakh,24-31,1,1 lakh - 1.5 lakh,below 650,0.3333333333333333,0.5559999999999999,0.16216216216216217,1,1,0,0,1,0,0,0,0,1,0,0
117,167864.4,1,0,6,0,0,668,germany,female,37,115638.29,1 lakh - 1.5 lakh,32-44,1,1.5 lakh - 2 lakh,650-700,0.0,0.636,0.25675675675675674,1,1,0,0,0,1,0,0,1,0,0,0
118,0.0,2,0,1,0,0,506,france,female,41,31766.3,20k - 50k,32-44,0,no saving,below 650,0.3333333333333333,0.31199999999999994,0.3108108108108108,1,0,0,0,0,1,0,0,0,1,0,0
119,107818.63,1,0,8,0,1,524,germany,female,31,199725.39,1.5 lakh - 2 lakh,24-31,1,1 lakh - 1.5 lakh,below 650,0.0,0.348,0.1756756756756757,1,1,0,0,1,0,0,0,1,0,0,0
120,185173.81,2,0,4,0,0,699,germany,male,34,120834.48,1 lakh - 1.5 lakh,32-44,1,1.5 lakh - 2 lakh,650-700,0.3333333333333333,0.6980000000000001,0.21621621621621623,0,1,0,0,0,1,0,0,0,1,0,0
121,129433.34,2,0,8,0,0,828,france,male,34,38131.77,20k - 50k,32-44,1,1 lakh - 1.5 lakh,above 800,0.3333333333333333,0.9560000000000001,0.21621621621621623,0,0,0,0,0,1,0,0,0,1,0,0
123,0.0,2,0,6,0,0,656,france,female,39,141069.88,1 lakh - 1.5 lakh,32-44,0,no saving,650-700,0.3333333333333333,0.612,0.2837837837837838,1,0,0,0,0,1,0,0,0,1,0,0
124,126384.42,1,1,10,1,0,684,germany,female,48,198129.36,1.5 lakh - 2 lakh,45-60,1,1 lakh - 1.5 lakh,650-700,0.0,0.668,0.40540540540540543,1,1,0,0,0,0,1,0,1,0,0,0
125,0.0,1,0,3,0,0,625,france,female,28,183646.41,1.5 lakh - 2 lakh,24-31,0,no saving,below 650,0.0,0.5499999999999999,0.13513513513513514,1,0,0,0,1,0,0,0,1,0,0,0
126,152603.45,1,0,9,0,1,432,france,male,42,110265.24,1 lakh - 1.5 lakh,32-44,1,1.5 lakh - 2 lakh,below 650,0.0,0.16399999999999992,0.3243243243243243,0,0,0,0,0,1,0,0,1,0,0,0
127,0.0,1,1,1,1,1,549,france,female,52,8636.05,1k - 20k,45-60,0,no saving,below 650,0.0,0.398,0.4594594594594595,1,0,0,0,0,0,1,0,1,0,0,0
128,148507.24,1,0,0,0,1,625,germany,male,56,46824.08,20k - 50k,45-60,1,1 lakh - 1.5 lakh,below 650,0.0,0.5499999999999999,0.5135135135135136,0,1,0,0,0,0,1,0,1,0,0,0
